split,observations,mean,std,min,max,p01,p99,largest_absolute_month,largest_absolute_ticker,largest_squared_return_share
train,83296,0.011649233679146456,0.1053234753538327,-0.8444129275949905,3.5843205432992997,-0.26395650714634994,0.31201340070593175,2000-02-29,REGN,0.013736107970920364
val,21900,0.016203345333488967,0.07138545397092508,-0.42156348617764106,0.7014186217440863,-0.16745853823319626,0.2129031516298386,2012-01-31,ILMN,0.004192679352658689
test,43800,0.010826096815627333,0.08280214360235992,-0.8325046243236494,2.1383225761998848,-0.19179504449852686,0.2327608084417447,2020-04-30,APA,0.014970542668140479
