Model,K,λ_lin,λ_nonlin,Total_R2,Pred_R2,Sharpe,CSPE,NL_frac,drift_rel,Collapsed,N_predictions,selected_by_validation
ResCAE-Fixed,3,frozen,1e-05,0.2167363166809082,0.012794852256774902,0.5820859291754024,0.009276675987758897,7.372148759786429e-08,0.0,False,43800,True
ResCAE-Fixed,3,frozen,5e-05,0.20834940671920776,0.00849217176437378,0.5854267317915038,0.010497215941859876,4.347235228852585e-08,0.0,False,43800,False
ResCAE-Fixed,3,frozen,0.0001,0.20812124013900757,0.009006738662719727,0.5583600752227431,0.010324560363759795,5.245750173845512e-08,0.0,False,43800,False
ResCAE-Fixed,3,frozen,0.0005,0.2016754150390625,0.008502364158630371,0.36741564028381196,0.009761573283158919,1.5698911785719496e-08,0.0,False,43800,False
ResCAE,3,0.001,1e-06,0.21318155527114868,0.01393347978591919,0.6395091645279439,0.00889530814485553,0.6901460640968754,0.6987517654895783,False,43800,False
ResCAE,3,0.001,1e-05,0.19649535417556763,0.016997039318084717,0.5675323865093955,0.007028072716233567,1.620543889025877e-07,0.7044095754623413,False,43800,False
ResCAE,3,0.001,5e-05,0.20029860734939575,0.01728808879852295,0.531800681883709,0.006786612084560448,6.221611133792316e-08,0.8222477436065674,False,43800,False
ResCAE,3,0.001,0.0001,0.20044738054275513,0.01727139949798584,0.5007102035431559,0.006770684718010505,7.859514895363661e-08,0.822261905670166,False,43800,False
ResCAE,3,0.001,0.0005,0.20487117767333984,0.017261505126953125,0.49832926599386007,0.006709481756877333,1.195556537649787e-07,0.9360785961151123,False,43800,False
ResCAE,3,0.005,1e-06,0.20952260494232178,0.013800203800201416,0.6466868912056717,0.008968135411867128,0.8579966322856653,0.8205950856208801,False,43800,False
ResCAE,3,0.005,1e-05,0.16910529136657715,0.017372548580169678,0.781548858043507,0.00659878940496328,2.1239317901849012e-07,0.6679377615451813,False,43800,False
ResCAE,3,0.005,5e-05,0.16788095235824585,0.01688861846923828,0.6276990112407124,0.006800256278017518,3.9820274460025245e-07,0.8633164882659912,False,43800,False
ResCAE,3,0.005,0.0001,0.16768473386764526,0.016896605491638184,0.6275971795008166,0.006782689633124923,3.061054596662319e-07,0.8632109642028809,False,43800,False
ResCAE,3,0.005,0.0005,0.16439688205718994,0.016450822353363037,0.584497990254732,0.00696568506851814,6.165592554370156e-07,0.9067655682563782,False,43800,False
ResCAE,3,0.01,1e-06,0.20608633756637573,0.012547135353088379,0.6422885035629989,0.009554361546544826,0.8730370901216765,0.8372347950935364,False,43800,False
ResCAE,3,0.01,1e-05,0.1672208309173584,0.01709085702896118,0.8426774923920348,0.006783076879788828,2.3194982035750706e-07,0.6909486055374146,False,43800,False
ResCAE,3,0.01,5e-05,0.1666548252105713,0.016646623611450195,0.6273900784016035,0.006941374505776353,2.770725170597411e-07,0.8704006910324097,False,43800,False
ResCAE,3,0.01,0.0001,0.16639643907546997,0.016628742218017578,0.6298966673688944,0.006933600409584161,4.320089736524806e-07,0.870499563217163,False,43800,False
ResCAE,3,0.01,0.0005,0.16322535276412964,0.015865683555603027,0.5416302015004423,0.00717796877856906,5.400136486885408e-07,0.9169071912765503,False,43800,False
ResCAE,3,0.05,1e-06,0.2050524353981018,0.011693120002746582,0.6541641645622442,0.009798557235014788,0.8760541943273183,0.8276059210300446,False,43800,False
ResCAE,3,0.05,1e-05,0.16435444355010986,0.016876637935638428,0.8426448447160327,0.006779564960831233,1.4193114185070252e-07,0.6990871906280518,False,43800,False
ResCAE,3,0.05,5e-05,0.16640442609786987,0.016454577445983887,0.6335512245991105,0.007008563573826259,4.3446888927860787e-07,0.8590595364570618,False,43800,False
ResCAE,3,0.05,0.0001,0.1666458249092102,0.01644420623779297,0.5708393561771015,0.007021045513487286,2.620715247860318e-07,0.8627987742424011,False,43800,False
ResCAE,3,0.05,0.0005,0.16390961408615112,0.01552039384841919,0.5024706047640429,0.007297879515787336,1.4280854179032935e-07,0.9195632576942444,False,43800,False
ResCAE,3,0.1,1e-06,0.20503008365631104,0.011726081371307373,0.6544353843524247,0.009784847616585182,0.8769613566749684,0.8280257880687714,False,43800,False
ResCAE,3,0.1,1e-05,0.16427528858184814,0.01686882972717285,0.8514532532962159,0.006785524568648287,2.782328750122322e-07,0.7007300376892089,False,43800,False
ResCAE,3,0.1,5e-05,0.16681790351867676,0.016438007354736328,0.5883140915330553,0.0070257152759299136,2.2003699004361247e-07,0.8603299260139465,False,43800,True
ResCAE,3,0.1,0.0001,0.1666172742843628,0.016447007656097412,0.5973511961930493,0.007018460932222248,1.48911501493957e-07,0.8603093147277832,False,43800,False
ResCAE,3,0.1,0.0005,0.1642048954963684,0.015545368194580078,0.4759321833322669,0.007306570099857387,1.5676726174249758e-07,0.9205196142196655,False,43800,False
CAE-NL (robustness),3,,1e-06,0.198564350605011,0.012820720672607422,0.5096243794755498,0.009169155842611229,1.0,,False,43800,False
CAE-NL (robustness),3,,1e-05,0.14368784427642822,0.014931440353393555,,0.007599635729323617,,,True,43800,False
CAE-NL (robustness),3,,5e-05,0.14354532957077026,0.014806747436523438,,0.0076566497302022665,,,True,43800,False
CAE-NL (robustness),3,,0.0001,0.1437048316001892,0.014627337455749512,,0.007737931815523571,,,True,43800,False
CAE-NL (robustness),3,,0.0005,0.14320582151412964,0.014602303504943848,,0.007749232485370959,,,True,43800,True
PCA,5,,,0.36529421105759585,0.014770354676212016,0.4319032426191381,0.007673227744704219,,,False,43800,True
IPCA,5,,,0.10392375285349564,0.0008315679124686337,0.8193353001987054,0.012974261950923627,,,False,43800,True
AE,5,,,0.3205289840698242,0.0013105273246765137,0.5239632412592332,0.012358716124900786,,,False,43800,True
ResCAE-Fixed,5,frozen,1e-06,0.2181168794631958,0.010187387466430664,0.6847523392616992,0.010464996482046018,0.13135329609742216,0.0,False,43800,True
